area_util,banheiros,vagas,quartos,suites,latitude,longitude,dist_terreno,preco,preco_m2
128,1,2,3,3,-26.9895532,-48.6371258,0.43186686787739,1960000,15312.5
67,1,2,2,2,-27.0086586,-48.62591659999998,2.79953449177179,550000,8208.955223880597
62,1,1,2,1,-26.9800332,-48.6468119,1.12661570779672,476000,7677.419354838709
123,4,2,3,3,-26.9925995,-48.6365675,0.774482670265137,1785669,14517.634146341463
102,2,2,2,1,-26.969253,-48.634355000000006,1.85330703798523,750000,7352.941176470588
176,3,2,3,3,-27.0024939,-48.62008470000001,2.5394394453144,2650000,15056.818181818182
148,3,3,4,2,-27.002700805664062,-48.62468338012695,2.27547304771688,1900000,12837.837837837838
128,4,2,3,3,-26.991071701049805,-48.635208129882805,0.637881851763204,1400000,10937.5
210,3,3,4,1,-26.97446250915528,-48.63645935058594,1.25219460380249,2200000,10476.190476190477
66,2,1,2,1,-26.9825796,-48.6444224,0.778562468405962,598000,9060.60606060606
81,2,1,2,2,-27.0147406,-48.6021953,4.75910555758218,497000,6135.802469135802
215,5,3,4,4,-26.982,-48.6384,0.421860169801794,1930000,8976.744186046511
149,4,2,4,4,-26.97006808461329,-48.63411464760742,1.76806043973524,2080000,13959.73154362416
214,0,2,3,3,-27.0003076,-48.62179679999997,2.24563895328614,1700000,7943.92523364486
119,3,2,3,1,-26.9988939,-48.6304627,1.62337825637877,1100000,9243.697478991597
238,6,4,4,4,-27.0058457,-48.60531930000002,3.89318148949463,7545000,31701.680672268907
239,0,4,2,2,-26.9835451,-48.6353692,0.310823926606655,1050000,4393.305439330544
308,4,2,3,3,-26.9896313,-48.63944449999997,0.484802220466552,3800000,12337.662337662337
152,0,2,3,3,-26.9705026,-48.636159799999966,1.69400384653074,1580000,10394.736842105263
81,1,1,2,0,-26.9905,-48.6297,0.93239775663888,850000,10493.827160493827
120,3,1,3,1,-26.991071701049805,-48.635208129882805,0.637881851763204,1050000,8750.0
182,4,5,3,3,-26.971406936645508,-48.63394927978516,1.62514974262493,5481000,30115.384615384617
139,0,3,4,4,-26.9962619,-48.6276259,1.52481756670138,2100000,15107.913669064748
210,2,3,4,1,-26.97446250915528,-48.63645935058594,1.25219460380249,2200000,10476.190476190477
139,3,2,3,2,-27.0037278,-48.620116,2.64028505015719,1100000,7913.669064748202
217,4,2,3,3,-26.9884383,-48.6334976,0.493096374335869,1930000,8894.009216589862
83,2,1,2,2,-26.9785,-48.6461,1.17726035160637,470000,5662.650602409639
120,4,3,3,3,-26.9816509,-48.6377394,0.449949958956489,1470000,12250.0
121,0,2,3,3,-26.9978254,-48.6327743,1.42729212149976,1500000,12396.694214876034
188,5,2,3,3,-26.989540100097656,-48.63007736206056,0.842878699776539,2300000,12234.04255319149
289,4,4,3,3,-27.00352566726236,-48.61754412636719,2.79649517368762,3300000,11418.685121107266
112,2,1,3,1,-26.9969,-48.6317,1.37044666110744,670000,5982.142857142857
236,4,4,4,4,-27.0062,-48.6048,3.95800406162602,6433000,27258.474576271186
130,2,2,3,1,-26.97712516784668,-48.637031555175774,0.95305257656477,1300000,10000.0
145,4,3,3,3,-26.9983,-48.6246,1.8927152875392,1850000,12758.620689655172
300,5,2,5,3,-27.001,-48.6232,2.21103932758287,2950000,9833.333333333334
130,4,2,3,3,-26.9816509,-48.6377394,0.449949958956343,1490000,11461.538461538461
120,0,3,3,3,-26.996444,-48.6347685,1.22601003204772,1085000,9041.666666666666
177,6,3,4,4,-26.9920964,-48.6308537,0.964451442952918,3049880,17230.9604519774
212,5,4,4,4,-26.970291,-48.6328,1.77259802732568,3320000,15660.377358490567
209,4,2,4,4,-26.979135513305664,-48.634986877441406,0.76654488894584,2300000,11004.784688995216
130,3,3,3,3,-27.0017579,-48.6301673,1.92769208109559,1990000,15307.692307692309
145,3,1,4,1,-26.98725626329093,-48.633110206745926,0.459140036807738,789000,5441.379310344828
62,2,1,2,1,-26.9686472,-48.6397475,1.91055781599147,590000,9516.129032258064
257,5,3,4,4,-27.00735664367676,-48.60823440551758,3.76620212060773,4500000,17509.727626459146
122,4,2,3,1,-26.9706308,-48.63503750000001,1.69149301956534,890000,7295.081967213115
130,4,2,3,3,-26.9808,-48.6346,0.609647023644885,1550000,11923.076923076924
106,3,2,2,2,-26.97412681579589,-48.63638305664063,1.29002820853329,870000,8207.547169811322
170,4,2,3,3,-26.9942,-48.631,1.14056170059563,920000,5411.764705882353
212,4,2,4,2,-26.979135513305664,-48.634986877441406,0.76654488894584,2800000,13207.547169811322
123,3,2,3,3,-26.9972279,-48.6311154,1.42808501839957,1350000,10975.609756097561
151,4,3,3,3,-26.9951,-48.628,1.40236078475454,2900000,19205.298013245032
212,0,4,4,4,-26.97054672241211,-48.63278579711913,1.74546863430933,3520000,16603.77358490566
220,5,2,3,1,-26.993093,-48.635628,0.843394685450829,4900000,22272.727272727272
155,0,3,4,4,-27.0061262,-48.61307929999998,3.31568135167884,2300000,14838.709677419354
136,5,2,4,4,-27.0018,-48.6279,2.02620795465555,1449500,10658.088235294117
